aut_ep_id,country_text_id,country_name,ep_start,ep_end,outcome_agg,prch,poly_start,poly_end,outcome_label,prch_label,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precipitating_event,precise_end_date,consequential_events,description,source_url,source_quote,confidence,is_classified,bse_outcome_short,bse_ROW,bse_ERT_regime,bse_Polyarchy,bse_LibDem,bse_LibComp,funke_outcome_short,funke_spell_years,ddcg_outcome_label,ddcg_prch_label,ddcg_event_years
ARM_2020_2025,ARM,Armenia,2020,2025,4,1,0.781,0.614,Ongoing,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Ongoing,NA,NA,NA,NA,NA,Ongoing,NA,NA,NA,NA
AUT_1930_1938,AUT,Austria,1930,1938,1,1,0.686,0.093,Democratic breakdown,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Breakdown,NA,NA,NA,NA
AZE_1993_1996,AZE,Azerbaijan,1993,1996,3,0,0.306,0.235,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,"June 4, 1993","On June 4, 1993, military commander Surat Huseynov launched an armed mutiny from Ganja and marched on Baku, forcing President Abulfaz Elchibey to flee by June 18, ending his government.",1996,"Heydar Aliyev, recalled to power as parliament speaker, was elected president after an August 1993 referendum formally removed Elchibey, and progressively entrenched one-man, one-party dominance over the following years.","A June 1993 military mutiny toppled Azerbaijan's first elected president, paving the way for former Soviet-era leader Heydar Aliyev to seize the presidency via referendum and steadily consolidate authoritarian control.",https://en.wikipedia.org/wiki/1993_Azerbaijani_coup_d'etat,"forces advanced on Baku, prompting Elchibey's flight and Aliyev's rise",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,1993
BDI_1965_1967,BDI,Burundi,1965,1967,3,0,0.181,0.086,Autocracy deepening,No,Open-ended coup,Executive coup,October 1965,"A failed Hutu-officer coup attempt on 18-19 October 1965 opened a period of military instability that culminated on 8 July 1966, when Crown Prince Ndizeye's forces ousted PM Leopold Biha's government, suspended the constitution, and installed Ndizeye as King Ntare V with Michel Micombero as premier.",November 1966,"On 28 November 1966, PM Micombero ousted King Ntare V in a second coup, declared an end to the monarchy, and became the first President of the new Republic of Burundi.","A series of coups (1965, July 1966, November 1966) ended Burundi's monarchy and installed Micombero's republic under military-backed rule.",https://en.wikipedia.org/wiki/November_1966_Burundian_coup_d'etat,"""Micombero declared an end to the monarchy and the Kingdom of Burundi became a republic, with Micombero as its first President.""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
BDI_1987_1988,BDI,Burundi,1987,1988,3,0,0.159,0.088,Autocracy deepening,No,Open-ended coup,NA,"September 3, 1987","On 3 September 1987, Major Pierre Buyoya led a bloodless military coup that deposed President Bagaza while he was abroad at a summit; Buyoya suspended the constitution and formed a Military Committee for National Salvation.",October 1988,"Ethnic violence erupted in August 1988, with roughly 20,000 Hutu killed in military reprisals; Buyoya was proclaimed president in September 1988 and in October 1988 appointed a mixed civilian-military government under a Hutu prime minister.","Buyoya's coup deposed President Bagaza, and the new regime's early consolidation was tested by deadly ethnic violence, after which Buyoya broadened his government's ethnic balance.",https://en.wikipedia.org/wiki/1987_Burundian_coup_d'etat,"""a bloodless military coup""; ""a well-respected Hutu, as his prime minister""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
BDI_2010_2016,BDI,Burundi,2010,2016,3,0,0.323,0.166,Autocracy deepening,No,Executive aggrandizement,Strategic harassment,July 2010,"In the July 2010 election, Pierre Nkurunziza ran unopposed after opposition parties boycotted the vote citing fraud in preceding communal elections, cementing CNDD-FDD's uncontested dominance.",July 2015,"After Nkurunziza announced a third-term bid in April 2015, validated by the Constitutional Court despite Arusha Accords term limits, a failed May 2015 military coup was followed by a violent crackdown; Nkurunziza won a boycotted July 2015 election.","Burundi's already non-democratic regime deepened as CNDD-FDD entrenched one-party dominance via an uncontested 2010 election, then Nkurunziza's legally-engineered third term triggered mass protests and severe repression eliminating remaining competition.",https://en.wikipedia.org/wiki/Pierre_Nkurunziza,"""Nkurunziza secured reelection in July but was effectively unopposed""",Medium,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
BEL_1914_1915,BEL,Belgium,1914,1915,1,1,0.303,0.156,Democratic breakdown,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Breakdown,NA,NA,NA,NA
BEL_1940_1941,BEL,Belgium,1940,1941,1,1,0.234,0.125,Democratic breakdown,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Breakdown,NA,NA,NA,NA
BEN_1964_1966,BEN,Benin,1964,1966,3,0,0.314,0.174,Autocracy deepening,No,Open-ended coup,Other/unclear,27 November 1965,"General Christophe Soglo, who first seized power in an October 1963 coup before handing the presidency to civilian leader Sourou-Migan Apithy in January 1964, staged a second coup on 27 November 1965 removing the fractious Apithy-Ahomadegbe power-sharing government.",22 December 1965,"A caretaker presidency under Tahirou Congacou gave way when Soglo formally installed himself as President of Dahomey on 22 December 1965, ruling through a military government until younger officers ousted him in December 1967.","Dahomey's fragile post-1963 civilian coalition collapsed under mutual distrust, prompting army chief Soglo to seize power outright in November 1965 rather than merely broker a transition as in 1963.",https://en.wikipedia.org/wiki/Christophe_Soglo,"""Soglo again overthrew the government on 27 November 1965""",Medium,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
BEN_1970_1973,BEN,Benin,1970,1973,3,0,0.176,0.093,Autocracy deepening,No,Open-ended coup,NA,7 May 1970,"Following a disputed 28 March 1970 election that gave regional pluralities to three rival politicians, Dahomey's leaders brokered a compromise on 7 May 1970 establishing a rotating three-person Presidential Council, each to serve two-year terms.",26 October 1972,"The Council survived a 1972 coup attempt and Maga's peaceful handover to Ahomadegbe-Tometin, but on 26 October 1972 Major Mathieu Kerekou seized power in a military coup, imprisoning all three council members and ending civilian power-sharing.","A fragile 1970 power-sharing arrangement among three rival politicians was toppled in October 1972 when Major Kerekou seized power in a military coup, installing a long-running military dictatorship.",https://en.wikipedia.org/wiki/Mathieu_Kerekou,"""On May 7, 1970, a rotating three-person presidential council was established""; Kerekou ""seized power in Dahomey in a military coup on 26 October 1972""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
BEN_2018_2021,BEN,Benin,2018,2021,1,1,0.606,0.39,Democratic breakdown,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Breakdown,2019,2019,20192020,20192020,2020,Breakdown,NA,NA,NA,NA
BFA_1965_1967,BFA,Burkina Faso,1965,1967,3,0,0.347,0.174,Autocracy deepening,No,Open-ended coup,Strategic harassment,January 1966,"President Maurice Yameogo's government announced an austerity budget in December 1965 cutting salaries and raising taxes, then declared a state of emergency and deployed troops against a threatened general strike, provoking mass unrest.",1967,"Rank-and-file soldiers refused to fire on protesters, allowing Lt. Col. Sangoule Lamizana to force Yameogo's resignation, suspend the constitution, dissolve the National Assembly, and install a military-dominated council which continued consolidating control through 1967.","President Yameogo's austerity measures triggered mass unrest that the military used as pretext to intervene, installing Lamizana's military government.",https://en.wikipedia.org/wiki/1966_Upper_Voltan_coup_d'etat,"""the rank and file soldiers refused to shoot protesters""",Medium,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
BFA_1980_1981,BFA,Burkina Faso,1980,1981,3,0,0.316,0.159,Autocracy deepening,No,Open-ended coup,NA,"November 25, 1980","Col. Saye Zerbo led a bloodless coup ousting President Lamizana amid drought/famine-driven economic desperation and a wave of strikes, immediately following a failed no-confidence motion.",May 1981,"Zerbo suspended the constitution and installed a 31-member junta with no timetable for elections; the initially union-friendly regime turned repressive, imposing mandatory military service in May 1981 and banning strikes.",Burkina Faso's military ousted long-serving President Lamizana and installed an open-ended junta under Zerbo that grew increasingly authoritarian within months.,https://en.wikipedia.org/wiki/1980_Upper_Voltan_coup_d'etat,"""drought, famine, popular unrest and labour strikes"" preceded the coup",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,1980
BFA_2014_2015,BFA,Burkina Faso,2014,2015,1,1,0.569,0.376,Democratic breakdown,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Breakdown,2015,2015,2015,2015,NA,Breakdown,NA,NA,NA,NA
BFA_2018_2025,BFA,Burkina Faso,2018,2025,1,1,0.666,0.134,Democratic breakdown,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Breakdown,2022,2022,2022,2022,2023,Breakdown,NA,NA,NA,NA
BGD_1975_1976,BGD,Bangladesh,1975,1976,3,0,0.21,0.132,Autocracy deepening,No,Open-ended coup,NA,15 August 1975,"In the early morning of 15 August 1975, junior army officers stormed the residence of President Sheikh Mujibur Rahman and assassinated him along with most of his family, installing an interim martial-law government.",29 September 1976,"After a counter-coup and the Sipahi-Janata mutiny that restored Ziaur Rahman as Army Chief, Zia formally consolidated military control by becoming Chief Martial Law Administrator on 29 September 1976.",The assassination of founding president Mujibur Rahman in a military coup ended Bangladesh's brief democratic experiment; a chaotic sequence of coups through 1976 entrenched military-backed rule under Zia.,https://en.wikipedia.org/wiki/Assassination_of_Sheikh_Mujibur_Rahman,"""Commerce Minister Khondaker Mostaq Ahmad took control and proclaimed himself head of an interim government""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,1974
BGD_1982_1983,BGD,Bangladesh,1982,1983,3,0,0.228,0.182,Autocracy deepening,No,Open-ended coup,NA,"March 24, 1982","On 24 March 1982, Army Chief Gen. Hussain Muhammad Ershad forced President Abdus Sattar to resign, declared martial law, suspended the constitution, and banned political parties, installing a figurehead civilian president.",December 1983,"Ershad formally assumed the presidency himself in December 1983, replacing the figurehead president and consolidating personal military rule that continued until 1990.","General Ershad's coup ousted Bangladesh's elected president and imposed martial law; Ershad took the presidency outright in late 1983, ruling as military head of state until 1990.",https://en.wikipedia.org/wiki/1982_Bangladeshi_coup_d'etat,"""Ershad declared he had undertaken the coup to save the country from the corruption and inefficiency of the BNP-led government.""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
BGD_2002_2007,BGD,Bangladesh,2002,2007,1,1,0.47,0.205,Democratic breakdown,Yes,Strategic harassment,Open-ended coup,"October 16, 2002","The BNP government under PM Khaleda Zia launched ""Operation Clean Heart,"" a nationwide crackdown that also targeted political opponents, detaining Awami League leaders, followed by an indemnity ordinance shielding security forces from prosecution.","January 11, 2007","A dispute over caretaker-government leadership triggered violent unrest and cancellation of the January 2007 election; the military installed Fakhruddin Ahmed's caretaker government under a state of emergency, remaining beyond its constitutional term.","The BNP government pursued harsh crackdowns against opposition figures, with extrajudicial killings shielded by an indemnity law; this chronic harassment culminated in a January 2007 military-backed takeover that suspended the election.",https://en.wikipedia.org/wiki/Operation_Clean_Heart,"""the shoot at sight order given by the Dhaka Metropolitan Police Commissioner"" (HRW)",Medium,TRUE,Breakdown,2002,2002,200220062007,2002,NA,Breakdown,NA,Democratic breakdown,Yes,2007
BGD_2013_2018,BGD,Bangladesh,2013,2018,3,0,0.376,0.252,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGR_1934_1935,BGR,Bulgaria,1934,1935,3,0,0.127,0.093,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHR_1974_1976,BHR,Bahrain,1974,1976,3,0,0.128,0.051,Autocracy deepening,No,Executive coup,NA,August 1975,"On 28 August 1975, Emir Isa bin Salman Al Khalifa dissolved Bahrain's elected National Assembly after it refused to pass the government's proposed State Security Law, suspending the parliamentary provisions of the 1973 constitution.",Ongoing,"Bahrain was governed by Emiri decree without an elected legislature for the remainder of Isa bin Salman's reign; the parliamentary system was never restored in his lifetime, with an elected legislature not reintroduced until 2002.","The Emir dissolved Bahrain's newly elected National Assembly after it blocked his State Security Law, suspending constitutional parliamentary rule for decades.",https://en.wikipedia.org/wiki/Isa_bin_Salman_Al_Khalifa,"""In August 1975, however, he dissolved Parliament because it refused to pass the government-sponsored State Security Law of 1974.""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
BIH_2004_2007,BIH,Bosnia and Herzegovina,2004,2007,2,1,0.647,0.566,Democratic erosion,Yes,Other/unclear,Executive aggrandizement,June 2004,"In June 2004, High Representative Paddy Ashdown used internationally granted ""Bonn Powers"" to dismiss 58 Bosnian public officials in a single day, an unelected international administrator overriding elected domestic institutions.",2007,"The US-brokered ""April Package"" constitutional reform failed in the House of Representatives by two votes in April 2006; the October 2006 election brought Milorad Dodik's SNSD to power in Republika Srpska on a platform resistant to further centralization.","Bosnia's erosion reflects continued heavy-handed international ""protectorate"" governance displacing domestic democratic accountability, alongside the failure of constitutional reform and the rise of nationalist leader Dodik.",https://en.wikipedia.org/wiki/Office_of_the_High_Representative,"""In June 2004...Paddy Ashdown dismissed 58 public officials in a single day""",Low,TRUE,Erosion only,NA,NA,NA,2007,2004,Erosion only,NA,Democratic erosion,Yes,NA
BLR_1994_2001,BLR,Belarus,1994,2001,1,1,0.546,0.247,Democratic breakdown,Yes,Executive coup,Executive aggrandizement,May 1995,"The May 14, 1995 referendum granted President Lukashenko power to dissolve parliament for constitutional violations plus closer Russia ties, in a vote the OSCE found ""violated international standards.""",November 1996,"A second November 1996 referendum gave Lukashenko's decrees force of law, extended his term to 2001, and replaced the elected Supreme Soviet with a loyalist House of Representatives; the 2001 election, won amid OSCE findings the environment was ""not democratic,"" cemented control.","Lukashenko used successive referenda to strip the elected parliament of power and concentrate authority in the presidency, completing the transformation of a young post-Soviet democracy into personalist authoritarian rule.",https://en.wikipedia.org/wiki/1996_Belarusian_referendum,"""gave Lukashenko's decrees the force of law...extended his term to 2001""",High,TRUE,Breakdown,NA,NA,NA,NA,NA,Breakdown,NA,Democratic breakdown,Yes,1995
BLR_2020_2025,BLR,Belarus,2020,2025,3,0,0.208,0.163,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL_1930_1935,BOL,Bolivia,1930,1935,3,0,0.136,0.074,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL_1964_1965,BOL,Bolivia,1964,1965,3,0,0.227,0.123,Autocracy deepening,No,Open-ended coup,NA,3 November 1964,"Vice President Rene Barrientos and Army commander Alfredo Ovando Candia launched a military uprising on 3 November 1964; by the evening all major military units backed the coup, and President Victor Paz Estenssoro was forced into exile in Lima.",1965,"Barrientos and Ovando ruled jointly as a military junta through 1965, suppressing striking miners and leftist opposition, entrenching military control that persisted until Barrientos's death in a 1969 helicopter crash.","Vice President Barrientos turned against President Paz Estenssoro alongside army chief Ovando amid escalating labor unrest, launching an open military uprising that exiled the elected president within 24 hours.",https://en.wikipedia.org/wiki/1964_Bolivian_coup_d'etat,"""The coup began early on November 3, when troops of the Ingavi regiment rebelled in La Paz.""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,1952–1964,Autocracy deepening,No,NA
BOL_2006_2020,BOL,Bolivia,2006,2020,1,1,0.724,0.275,Democratic breakdown,Yes,Executive aggrandizement,Election-day fraud,January 2009,"In January 2009 Bolivians approved a new constitution establishing a centralized ""plurinational state""; Morales later moved to eliminate term limits, culminating in a November 2017 Constitutional Tribunal ruling permitting unlimited reelection despite a 2016 referendum rejecting this.",October 2020,"Morales resigned November 2019 amid a disputed election that an OAS audit found showed ""sufficient evidence of election fraud""; Senator Jeanine Anez assumed the presidency without quorum, and elections were finally held October 2020.","Morales concentrated executive power through a 2009 constitution and a 2017 Tribunal ruling overturning a 2016 anti-reelection referendum; his disputed 2019 re-election, found fraudulent by the OAS, triggered his resignation and an unelected interim government.",https://en.wikipedia.org/wiki/Evo_Morales,"""Bolivians rejected Morales' attempt to abolish presidential term limits through referendum""",Medium,TRUE,Breakdown,2019,2019,20192020,201420182019,20062009201020165e7,Breakdown,2006–2019,Democratic breakdown,Yes,NA
BRA_1930_1931,BRA,Brazil,1930,1931,3,0,0.178,0.079,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,1930–1945,NA,NA,NA
BRA_1964_1965,BRA,Brazil,1964,1965,3,0,0.209,0.145,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,31 March 1964,"General Olimpio Mourao Filho launched a military rebellion in Minas Gerais on 31 March 1964; within two days the military controlled the country, Congress declared the presidency vacant, and President Joao Goulart went into exile on 4 April.",27 October 1965,"Congress installed coup leader General Humberto Castelo Branco as president; Institutional Act No. 2, issued 27 October 1965, abolished all existing political parties and imposed indirect elections, cementing military-dominated rule.","A military rebellion against elected President Goulart escalated into a full ouster within days, installing a military-controlled presidency that within 18 months dissolved the party system entirely, launching the 1964-1985 military dictatorship.",https://en.wikipedia.org/wiki/1964_Brazilian_coup_d'etat,"""the overthrow of Brazilian president Joao Goulart by a military coup from March 31 to April 1, 1964""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,1964
BRA_2015_2019,BRA,Brazil,2015,2019,2,1,0.861,0.691,Democratic erosion,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Erosion only,NA,NA,NA,NA,NA,Erosion only,2019–2020,NA,NA,NA
BWA_2015_2022,BWA,Botswana,2015,2022,2,1,0.69,0.573,Democratic erosion,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Erosion only,NA,NA,NA,NA,NA,Erosion only,NA,NA,NA,NA
CAF_1963_1966,CAF,Central African Republic,1963,1966,3,0,0.219,0.092,Autocracy deepening,No,Executive aggrandizement,Open-ended coup,December 1963,"In December 1963 the CAR's National Assembly formally adopted a constitutional amendment entrenching a strong seven-year presidency, followed by Dacko's unopposed re-election on 5 January 1964.",1 January 1966,"On the night of 31 December 1965/1 January 1966, army commander Jean-Bedel Bokassa staged the bloodless Saint-Sylvestre coup, invalidating the 1959 constitution and dissolving the National Assembly.","David Dacko converted the CAR into a one-party state, entrenching presidential power via constitutional amendment; this executive aggrandizement set the stage for Bokassa's New Year's Eve 1965 coup.",https://en.wikipedia.org/wiki/Saint-Sylvestre_coup_d'etat,"""invalidated the constitution and dissolved the National Assembly, calling it 'a lifeless organ no longer representing the people'""",Medium,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
CAF_2003_2004,CAF,Central African Republic,2003,2004,3,0,0.245,0.221,Autocracy deepening,No,Open-ended coup,Promissory coup,"March 15, 2003","General Francois Bozize led fighters to seize Bangui while President Ange-Felix Patasse was abroad; rebels captured the airport and presidential palace with minimal resistance, forcing Patasse into exile.",December 2004,"Bozize proclaimed himself president, suspended the constitution, and formed a transitional ""union government""; a new constitution was approved by referendum in December 2004, leading to elections in 2005 that Bozize won.","Bozize's coup ousted elected President Patasse and suspended the constitution, but was followed by a two-year transitional process (constitution, referendum, elections) rather than indefinite military rule.",https://en.wikipedia.org/wiki/2003_Central_African_Republic_coup_d'etat,"""he would go on to form a union government with Abel Goumba as prime minister, which ruled the country until the 2005 election.""",Medium,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,2003
CAF_2019_2025,CAF,Central African Republic,2019,2025,3,0,0.379,0.293,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL_1924_1925,CHL,Chile,1924,1925,3,0,0.257,0.155,Autocracy deepening,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,1920–1925,NA,NA,NA
CHL_1972_1974,CHL,Chile,1972,1974,1,1,0.688,0.071,Democratic breakdown,Yes,Open-ended coup,NA,11 September 1973,"On 11 September 1973, a military junta led by General Augusto Pinochet launched a coup against elected President Salvador Allende amid escalating economic crisis and polarization; Allende died during the assault on La Moneda palace.",December 1974,"The junta banned political parties and began repression; Pinochet was proclaimed Supreme Chief of the Nation via decree in June 1974 and formally titled President of the Republic on 17 December 1974, consolidating personal dictatorial power lasting until 1990.",Chile's elected socialist government was overthrown by a September 1973 military coup; Pinochet quickly sidelined the collegial junta structure to concentrate executive power in himself by late 1974.,https://en.wikipedia.org/wiki/1973_Chilean_coup_d'etat,"""He was officially titled 'President of the Republic' on 17 December 1974.""",High,TRUE,NA,NA,NA,NA,NA,NA,Breakdown,NA,Democratic breakdown,Yes,1973
CIV_2000_2000,CIV,Ivory Coast,2000,2000,3,0,0.274,0.274,Autocracy deepening,No,Promissory coup,Election-day fraud,"December 24, 1999","On 24 December 1999, mutinying soldiers seized Abidjan's airport and ousted President Henri Konan Bedie; retired General Robert Guei was installed as head of a National Public Salvation Committee and publicly promised democracy would be respected.","October 26, 2000","The junta's constitution excluded opposition leader Alassane Ouattara from the presidential race; Guei tried to declare himself winner of the flawed October 2000 election, but a popular uprising forced him out and installed Laurent Gbagbo, inaugurated 26 October 2000.","A December 1999 coup ousted President Bedie amid promises to restore democracy, but the transition was compromised by exclusionary rules and Guei's attempt to falsify the 2000 election result, only overturned by street protests.",https://en.wikipedia.org/wiki/1999_Ivorian_coup_d'etat,"""democracy would be respected, international agreements would be maintained""",High,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,Autocracy deepening,No,NA
CIV_2020_2025,CIV,Ivory Coast,2020,2025,1,1,0.499,0.394,Democratic breakdown,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Breakdown,2020,2020,2021,20202021,20192020,Breakdown,NA,NA,NA,NA
