country_name,ep_start,ep_end,outcome_label,prch_label,ddcg_event_years,matched,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precipitating_event,precise_end_date,consequential_events,source_url,confidence
Argentina,1962,1962,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,March 1962,"After the ruling Radicals lost heavily to Peronist-backed candidates in March 1962 provincial elections, army officers annulled the elections and forced elected President Arturo Frondizi from office and into detention on 29 March 1962.",1962,"Senate President Jose Maria Guido was installed as a provisional civilian president under military tutelage; his government kept the Peronist party proscribed from politics, continuing through the 1963 elections.",https://en.wikipedia.org/wiki/Arturo_Frondizi,High
Republic of the Congo,1962,1968,Autocracy deepening,No,1963,TRUE,Executive aggrandizement,Open-ended coup,August 1962,"Building on a March 1961 constitution stripping the National Assembly of its power to unseat the government, President Fulbert Youlou announced in August 1962 plans to merge Congo's parties into a single ruling party.",September 1968,"Youlou's push for one-party rule triggered a popular uprising forcing his resignation in 1963; successor Alphonse Massamba-Debat declared one-party rule by July 1964, before he too was overthrown by the military on 4 September 1968.",https://en.wikipedia.org/wiki/Fulbert_Youlou; https://en.wikipedia.org/wiki/Alphonse_Massamba-Debat,Medium
Greece,1962,1968,Autocracy deepening,No,1967,TRUE,Election-day fraud,Open-ended coup,29 October 1961,"The 1961 Greek legislative election was marred by widespread fraud and intimidation orchestrated by the army and ""parakratos"" deep-state network under a plan codenamed ""Pericles,"" becoming known as the ""elections of violence and fraud.""",September 1968,"The 1965 royal Apostasia crisis destabilized parliamentary rule; on 21 April 1967 colonels led by Papadopoulos seized power in a coup, and the junta cemented its rule via a controlled September 1968 constitutional referendum.",https://en.wikipedia.org/wiki/1961_Greek_legislative_election; https://en.wikipedia.org/wiki/Greek_military_junta_of_1967-74,Medium
Central African Republic,1963,1966,Autocracy deepening,No,NA,FALSE,Executive aggrandizement,Open-ended coup,December 1963,"In December 1963 the CAR's National Assembly formally adopted a constitutional amendment entrenching a strong seven-year presidency, followed by Dacko's unopposed re-election on 5 January 1964.",1 January 1966,"On the night of 31 December 1965/1 January 1966, army commander Jean-Bedel Bokassa staged the bloodless Saint-Sylvestre coup, invalidating the 1959 constitution and dissolving the National Assembly.",https://en.wikipedia.org/wiki/Saint-Sylvestre_coup_d'etat,Medium
Syria,1963,1970,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,8 March 1963,"On 8 March 1963, the clandestine Military Committee of the Syrian Ba'ath Party seized power in the ""March 8 Revolution"" coup, ending Syria's post-colonial democratic experimentation and purging 90% of the officer corps.",13 November 1970,"Intra-Ba'athist rivalry produced further upheavals; on 13 November 1970 Defense Minister Hafez al-Assad staged the bloodless ""Corrective Movement"" coup against Salah Jadid, later purging the ""Old Guard"" and consolidating durable personal dictatorship.",https://en.wikipedia.org/wiki/1963_Syrian_coup_d'etat; https://en.wikipedia.org/wiki/Corrective_Movement_(Syria),High
Togo,1963,1968,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,13 January 1963,"On 13 January 1963, former French army NCOs led by Emmanuel Bodjolle, Etienne Eyadema, and Kleber Dadjo seized government buildings in Lome and assassinated President Sylvanus Olympio.",14 April 1967,"The 1963 plotters installed civilian Nicolas Grunitzky, but on 13 January 1967 Eyadema staged a second coup ousting Grunitzky, banning parties and suspending the constitution; he formally assumed the presidency 14 April 1967.",https://en.wikipedia.org/wiki/1963_Togolese_coup_d'etat; https://en.wikipedia.org/wiki/1967_Togolese_coup_d'etat,High
Uruguay,1963,1974,Democratic breakdown,Yes,1972,TRUE,Executive coup,Executive aggrandizement,June 1968,"President Jorge Pacheco Areco declared a state of emergency in June 1968 amid unrest over his wage/price freeze, beginning a pattern of rule-by-emergency-decree against labor and the Tupamaros.",27 June 1973,"On 27 June 1973 President Juan Maria Bordaberry dissolved the General Assembly, suspended the constitution, banned trade unions, and ruled by decree with a military-dominated National Security Council, inaugurating the 1973-1985 civic-military dictatorship.",https://en.wikipedia.org/wiki/1973_Uruguayan_coup_d'etat; https://en.wikipedia.org/wiki/Juan_Maria_Bordaberry,Medium
Republic of Vietnam,1963,1964,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,1-2 November 1963,"On 1-2 November 1963, ARVN generals led by Duong Van Minh, with CIA foreknowledge, launched a coup that arrested and summarily executed President Ngo Dinh Diem and his brother Ngo Dinh Nhu, ending Diem's autocratic family rule amid the Buddhist crisis.",30 January 1964,"The Minh-led junta proved unstable; before dawn on 30 January 1964, General Nguyen Khanh staged a bloodless coup ousting Minh's junta without firing a shot.",https://en.wikipedia.org/wiki/Arrest_and_assassination_of_Ngo_Dinh_Diem; https://en.wikipedia.org/wiki/January_1964_South_Vietnamese_coup,High
Benin,1964,1966,Autocracy deepening,No,NA,FALSE,Open-ended coup,Other/unclear,27 November 1965,"General Christophe Soglo, who first seized power in an October 1963 coup before handing the presidency to civilian leader Sourou-Migan Apithy in January 1964, staged a second coup on 27 November 1965 removing the fractious Apithy-Ahomadegbe power-sharing government.",22 December 1965,"A caretaker presidency under Tahirou Congacou gave way when Soglo formally installed himself as President of Dahomey on 22 December 1965, ruling through a military government until younger officers ousted him in December 1967.",https://en.wikipedia.org/wiki/Christophe_Soglo,Medium
Bolivia,1964,1965,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,3 November 1964,"Vice President Rene Barrientos and Army commander Alfredo Ovando Candia launched a military uprising on 3 November 1964; by the evening all major military units backed the coup, and President Victor Paz Estenssoro was forced into exile in Lima.",1965,"Barrientos and Ovando ruled jointly as a military junta through 1965, suppressing striking miners and leftist opposition, entrenching military control that persisted until Barrientos's death in a 1969 helicopter crash.",https://en.wikipedia.org/wiki/1964_Bolivian_coup_d'etat,High
Brazil,1964,1965,Autocracy deepening,No,1964,TRUE,Open-ended coup,Executive aggrandizement,31 March 1964,"General Olimpio Mourao Filho launched a military rebellion in Minas Gerais on 31 March 1964; within two days the military controlled the country, Congress declared the presidency vacant, and President Joao Goulart went into exile on 4 April.",27 October 1965,"Congress installed coup leader General Humberto Castelo Branco as president; Institutional Act No. 2, issued 27 October 1965, abolished all existing political parties and imposed indirect elections, cementing military-dominated rule.",https://en.wikipedia.org/wiki/1964_Brazilian_coup_d'etat,High
Dominican Republic,1964,1964,Autocracy deepening,No,NA,FALSE,Other/unclear,Executive aggrandizement,27 June 1964,"The last remaining civilian member of the 1963 Triumvirate, Manuel Enrique Tavares Espaillat, resigned on 27 June 1964 amid continued repression of supporters of ousted elected president Juan Bosch, leaving Donald Reid Cabral as unelected de facto ruler.",31 December 1964,"Reid Cabral governed by decree for the remainder of 1964 without any election in prospect, imposing unpopular austerity measures and purging military officers not personally loyal to him.",https://en.wikipedia.org/wiki/Second_Triumvirate_(Dominican_Republic),Low
Mali,1964,1969,Autocracy deepening,No,NA,FALSE,Executive aggrandizement,Open-ended coup,22 August 1967,"President Modibo Keita launched the ""Active Revolution"" on 22 August 1967, suspending the constitution and National Assembly and creating the National Committee for the Defense of the Revolution to rule by decree.",19 November 1968,"Amid economic hardship, Lieutenant Moussa Traore led a bloodless military coup on 19 November 1968 that overthrew and imprisoned Keita; Traore's junta promised elections that never materialized and he formally became president in 1969.",https://en.wikipedia.org/wiki/Modibo_Keita; https://en.wikipedia.org/wiki/1968_Malian_coup_d'etat,High
Panama,1964,1969,Autocracy deepening,No,1968,TRUE,Open-ended coup,NA,11 October 1968,"National Guard officers led by Major Boris Martinez staged a coup on 11 October 1968, deposing democratically elected President Arnulfo Arias just ten days after his inauguration, suspending civil rights and installing a Provisional Junta.",23 February 1969,"An internal power struggle culminated on 23 February 1969, when Lt. Col. Omar Torrijos exiled rival strongman Boris Martinez, consolidating personal control over the National Guard and inaugurating a personalist military dictatorship lasting until 1989.",https://en.wikipedia.org/wiki/1968_Panamanian_coup_d'etat,High
Somalia,1964,1970,Autocracy deepening,No,1969,TRUE,Open-ended coup,Election-day fraud,March 1969,"The March 1969 parliamentary elections were fraud-ridden and violent, with more than 25 people killed in election-related violence amid widespread allegations of fraud, deepening perceptions that the ruling Somali Youth League was becoming authoritarian.",1970,"President Abdirashid Ali Shermarke was assassinated on 15 October 1969; six days later General Siad Barre's Supreme Revolutionary Council seized power, dissolved parliament and the Supreme Court, and in 1970 declared Somalia a one-party socialist state.",https://en.wikipedia.org/wiki/1969_Somali_coup_d'etat,High
Zanzibar,1964,1964,Autocracy deepening,No,NA,FALSE,Open-ended coup,Other/unclear,January 1964,"On 12 January 1964, 600-800 mainly African men led by John Okello launched an armed uprising that overthrew Sultan Jamshid bin Abdullah and his Arab-dominated government just a month after independence.",April 1964,"The new revolutionary government banished the Sultan, banned the opposition ZNP and ZPPP parties, installed Abeid Karume as President, and merged Zanzibar with Tanganyika in April 1964 to form Tanzania.",https://en.wikipedia.org/wiki/Zanzibar_Revolution,Medium
Burundi,1965,1967,Autocracy deepening,No,NA,FALSE,Open-ended coup,Executive coup,October 1965,"A failed Hutu-officer coup attempt on 18-19 October 1965 opened a period of military instability that culminated on 8 July 1966, when Crown Prince Ndizeye's forces ousted PM Leopold Biha's government, suspended the constitution, and installed Ndizeye as King Ntare V with Michel Micombero as premier.",November 1966,"On 28 November 1966, PM Micombero ousted King Ntare V in a second coup, declared an end to the monarchy, and became the first President of the new Republic of Burundi.",https://en.wikipedia.org/wiki/November_1966_Burundian_coup_d'etat,High
Burkina Faso,1965,1967,Autocracy deepening,No,NA,FALSE,Open-ended coup,Strategic harassment,January 1966,"President Maurice Yameogo's government announced an austerity budget in December 1965 cutting salaries and raising taxes, then declared a state of emergency and deployed troops against a threatened general strike, provoking mass unrest.",1967,"Rank-and-file soldiers refused to fire on protesters, allowing Lt. Col. Sangoule Lamizana to force Yameogo's resignation, suspend the constitution, dissolve the National Assembly, and install a military-dominated council which continued consolidating control through 1967.",https://en.wikipedia.org/wiki/1966_Upper_Voltan_coup_d'etat,Medium
Democratic Republic of the Congo,1965,1966,Autocracy deepening,No,NA,FALSE,Promissory coup,Executive aggrandizement,November 1965,"A political impasse in which PM-designate Evariste Kimba lost a no-confidence vote but was reappointed anyway by President Kasa-Vubu caused governmental paralysis that Gen. Joseph Mobutu used to seize power on 25 November 1965, canceling scheduled elections while pledging to restore democracy.",1966,"Mobutu assumed near-dictatorial powers, framing his takeover as a five-year caretaker mission to restore democratic order -- a promise he never honored -- and by 1966 had abolished the prime ministership.",https://en.wikipedia.org/wiki/Second_Mobutu_coup_d'etat,High
Algeria,1965,1966,Autocracy deepening,No,NA,FALSE,Open-ended coup,Executive aggrandizement,June 1965,"On 19 June 1965, Defense Minister Col. Houari Boumedienne and allied army officers arrested President Ahmed Ben Bella in a bloodless pre-dawn coup, ending Ben Bella's increasingly personalist rule.",1966,"Boumedienne installed himself as Chairman of a new Revolutionary Council and by mid-1966 had reorganized the ruling FLN party, consolidating one-party military-backed rule with Ben Bella under house arrest until 1980.",https://en.wikipedia.org/wiki/1965_Algerian_coup_d'etat,High
Argentina,1966,1967,Democratic breakdown,Yes,NA,FALSE,Open-ended coup,Executive aggrandizement,June 1966,"General Juan Carlos Ongania led the ""Argentine Revolution,"" a military coup on 28 June 1966 that overthrew democratically elected President Arturo Illia, dissolved Congress, and banned all political parties, explicitly rejecting the label of a ""provisional government.""",1970,"The regime consolidated authoritarian rule via repression such as the ""Night of the Long Batons"" crackdown on university autonomy; Ongania was forced to resign in 1970 after the 1969 Cordobazo uprising.",https://en.wikipedia.org/wiki/Argentine_Revolution,High
Philippines,1966,1973,Autocracy deepening,No,1965,TRUE,Executive coup,Executive aggrandizement,September 1972,"President Ferdinand Marcos, first elected 1965 and reelected 1969, signed Proclamation No. 1081 and announced martial law on 23 September 1972, suspending civil and political rights, abolishing Congress, and arresting opposition figures.",January 1973,"A Marcos-dominated Constitutional Convention approved a new charter, ratified by a lopsided plebiscite (95.27% in favor) in January 1973 via citizens' assemblies, formally entrenching Marcos's one-man rule; martial law was not lifted until 1981.",https://en.wikipedia.org/wiki/Martial_law_under_Ferdinand_Marcos,High
Uganda,1966,1972,Autocracy deepening,No,NA,FALSE,Executive coup,Open-ended coup,February 1966,"On 22 February 1966 PM Milton Obote had five cabinet ministers arrested, then suspended Uganda's 1962 constitution and assumed all executive powers; a new ""Revolutionary"" constitution was pushed through parliament under military guard on 15 April 1966, abolishing the federal structure.",1972,"General Idi Amin overthrew Obote in a military coup on 25 January 1971 while Obote was abroad; Amin then purged roughly 5,000 soldiers from the Lango and Acholi ethnic groups by 1972, entrenching a more violent military dictatorship.",https://en.wikipedia.org/wiki/Milton_Obote,Medium
Sierra Leone,1967,1968,Autocracy deepening,No,1967,TRUE,Promissory coup,Open-ended coup,March 1967,"Following the 17 March 1967 general election in which Siaka Stevens' opposition APC narrowly defeated the incumbent SLPP, Brigadier David Lansana staged a coup hours after Stevens was sworn in, arresting him and annulling the election result.",April 1968,"Dissenting officers arrested Lansana two days later and formed the National Reformation Council under Andrew Juxon-Smith, which vowed to restore democracy but ruled by decree for over a year until the 18 April 1968 ""Sergeants' Coup"" installed Siaka Stevens as elected PM.",https://en.wikipedia.org/wiki/1967_Sierra_Leonean_coups_d'etat,High
Guyana,1968,1974,Autocracy deepening,No,NA,FALSE,Strategic harassment,Election-day fraud,1968,"In the run-up to Guyana's 16 December 1968 general election, PM Forbes Burnham's PNC government, which controlled the electoral machinery, padded voter rolls and manipulated an opaque overseas/postal ballot process to manufacture a parliamentary majority despite Cheddi Jagan's PPP likely winning the domestic vote.",January 1969,The fraud handed the PNC 30 of 53 seats and its first outright majority; it was exposed in two Granada Television documentaries and set the template for further rigged elections that entrenched PNC one-party dominance through the 1970s.,https://en.wikipedia.org/wiki/1968_Guyanese_general_election,Medium
Peru,1968,1969,Autocracy deepening,No,1968,TRUE,Open-ended coup,NA,October 1968,"In the early hours of 3 October 1968, General Juan Velasco Alvarado led an armored assault on the presidential palace, deposed and exiled elected President Fernando Belaunde amid an oil-contract scandal, and installed a military junta.",1969,"Within days the junta nationalized IPC's oil fields, defusing public opposition, and by 1969 was implementing a sweeping state-led ""Peruvian Revolution"" program including agrarian reform, confirming permanent revolutionary rule; the junta held power until 1980.",https://en.wikipedia.org/wiki/1968_Peruvian_coup_d'etat,High
Lesotho,1969,1971,Autocracy deepening,No,NA,FALSE,Executive coup,Election-day fraud,30 January 1970,"PM Leabua Jonathan's ruling BNP lost the January 1970 election to Ntsu Mokhehle's BCP; before results were finalized, Jonathan declared a state of emergency, annulled the election, dissolved parliament, and suspended the constitution.",1971,"King Moshoeshoe II, who opposed the coup, was forced into exile for most of 1970; Jonathan then ruled by decree without an elected parliament for over a decade, until deposed in the 1986 military coup.",https://en.wikipedia.org/wiki/1970_Lesotho_coup_d'etat,High
Malaysia,1969,1970,Autocracy deepening,No,NA,FALSE,Executive coup,Strategic harassment,13 May 1969,"Sino-Malay race riots erupted in Kuala Lumpur after opposition parties made major gains in the 1969 election; the government declared a state of emergency on 15-16 May 1969, suspended Parliament, and created the National Operations Council to rule by decree.",February 1971,"The NOC governed by decree for about 21 months; Parliament reconvened in February 1971, and constitutional amendments entrenched permanent restrictions on public discussion of ""sensitive"" issues even after normal rule resumed.",https://en.wikipedia.org/wiki/13_May_incident,Medium
Sudan,1969,1969,Autocracy deepening,No,1969,TRUE,Open-ended coup,NA,25 May 1969,"Colonel Gaafar Nimeiry led the Free Officers Movement in a bloodless military coup on 25 May 1969, overthrowing the elected government, dissolving parliament, banning political parties, and establishing a Revolutionary Command Council.",1969,The coup ended Sudan's second democratic era and installed Nimeiry as head of a new government; the regime pursued Nasserist Arab nationalism before Nimeiry consolidated one-man military rule that lasted 16 years.,https://en.wikipedia.org/wiki/1969_Sudanese_coup_d'etat,High
Zambia,1969,1974,Autocracy deepening,No,NA,FALSE,Executive aggrandizement,Strategic harassment,17 June 1969,"In a June 1969 constitutional referendum (85% in favor), Zambia removed the requirement that fundamental-rights amendments be approved by public referendum, allowing amendments via a two-thirds parliamentary majority alone.",December 1973,"In February 1972 Kaunda banned all opposition parties, making UNIP the sole legal party; a new constitution promulgated August 1973 formalized one-party rule, and single-candidate elections in December 1973 cemented one-party executive rule.",https://en.wikipedia.org/wiki/1969_Zambian_constitutional_referendum,High
Benin,1970,1973,Autocracy deepening,No,NA,FALSE,Open-ended coup,NA,7 May 1970,"Following a disputed 28 March 1970 election that gave regional pluralities to three rival politicians, Dahomey's leaders brokered a compromise on 7 May 1970 establishing a rotating three-person Presidential Council, each to serve two-year terms.",26 October 1972,"The Council survived a 1972 coup attempt and Maga's peaceful handover to Ahomadegbe-Tometin, but on 26 October 1972 Major Mathieu Kerekou seized power in a military coup, imprisoning all three council members and ending civilian power-sharing.",https://en.wikipedia.org/wiki/Mathieu_Kerekou,High
Ecuador,1970,1973,Autocracy deepening,No,NA,FALSE,Executive coup,Open-ended coup,1970,"President Jose Maria Velasco Ibarra, elected in 1968, suspended Congress in 1970 and began ruling by decree with military backing, effectively declaring himself dictator.",15 February 1972,"After Velasco's government promised elections for June 1972 in which populist favorite Assad Bucaram appeared likely to win, the military, anxious to control impending oil revenues, staged a coup on 15 February 1972 led by Gen. Guillermo Rodriguez Lara, arresting Velasco and deporting him to Panama.",https://en.wikipedia.org/wiki/1972_Ecuadorian_coup_d'etat,Medium
Cambodia,1970,1975,Autocracy deepening,No,NA,FALSE,Open-ended coup,Election-day fraud,March 1970,"On 18 March 1970, Cambodia's National Assembly voted to withdraw confidence in Head of State Prince Norodom Sihanouk while abroad, following orchestrated demonstrations and pressure from PM Lon Nol; Sihanouk was formally deposed and Lon Nol assumed emergency powers, founding the Khmer Republic.",April 1975,"Lon Nol's 1972 ""re-election"" as president amid widespread fraud allegations entrenched his one-man rule; the Khmer Republic collapsed when Khmer Rouge forces captured Phnom Penh on 17 April 1975, ending the republic.",https://en.wikipedia.org/wiki/1970_Cambodian_coup_d'etat,High
Sri Lanka,1970,1989,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,October 1977,"PM J.R. Jayewardene's Second Amendment, passed 4 October 1977, converted the presidency into a powerful executive office he assumed personally in February 1978, and the full 1978 constitution granted the president sweeping, near-dictatorial powers.",December 1989,"A 1982 referendum extended the sitting parliament's term to 1989 rather than holding an election, while an amendment barred Tamil separatist-linked TULF MPs from parliament; Black July 1983 and the 1987-1989 JVP insurrection crackdown involved mass extrajudicial killings.",https://en.wikipedia.org/wiki/J._R._Jayewardene,Medium
Equatorial Guinea,1971,1973,Autocracy deepening,No,NA,FALSE,Executive coup,NA,May 1971,"On 7 May 1971, President Francisco Macias Nguema issued Decree 415, repealing parts of the 1968 constitution and granting himself all direct powers of Government, effectively suspending constitutional government; an accompanying law imposed the death penalty for threatening the president.",July 1973,"A new constitution approved by plebiscite on 29 July 1973 (99% approval) enshrined Macias Nguema's absolute power, following a July 1972 decree that had already declared him President for Life and merged all parties into his sole legal party.",https://en.wikipedia.org/wiki/Francisco_Macias_Nguema,High
India,1971,1975,Democratic breakdown,Yes,NA,FALSE,Executive coup,Executive aggrandizement,25 June 1975,"Following the Allahabad High Court's 12 June 1975 ruling that found PM Indira Gandhi guilty of electoral malpractice in her 1971 election and voided her seat, Gandhi had a national Emergency proclaimed just before midnight on 25 June 1975, suspending civil liberties and arresting opposition leaders within hours.",21 March 1977,"The Emergency, during which the press was censored and opposition figures jailed, was lifted on 21 March 1977 when Gandhi called fresh elections, in which her Congress party was defeated, restoring competitive politics.",https://en.wikipedia.org/wiki/The_Emergency_(India),High
Chile,1972,1974,Democratic breakdown,Yes,1973,TRUE,Open-ended coup,NA,11 September 1973,"On 11 September 1973, a military junta led by General Augusto Pinochet launched a coup against elected President Salvador Allende amid escalating economic crisis and polarization; Allende died during the assault on La Moneda palace.",December 1974,"The junta banned political parties and began repression; Pinochet was proclaimed Supreme Chief of the Nation via decree in June 1974 and formally titled President of the Republic on 17 December 1974, consolidating personal dictatorial power lasting until 1990.",https://en.wikipedia.org/wiki/1973_Chilean_coup_d'etat,High
Ghana,1972,1973,Autocracy deepening,No,1972,TRUE,Open-ended coup,NA,13 January 1972,"On 13 January 1972, Colonel Ignatius Kutu Acheampong led a bloodless military coup that overthrew the elected government of PM Kofi Busia while Busia was abroad, suspending the constitution and installing the National Redemption Council.",1973,"The NRC ruled by decree through 1973, keeping the constitution suspended, parliament dissolved, and political parties banned, entrenching military rule until reorganized as the Supreme Military Council in 1975.",https://en.wikipedia.org/wiki/Ignatius_Kutu_Acheampong,Medium
Madagascar,1972,1973,Autocracy deepening,No,NA,FALSE,Open-ended coup,Executive aggrandizement,May 1972,"Mass ""Rotaka"" protests in May 1972 forced President Philibert Tsiranana to transfer full executive power to army Chief of Staff General Gabriel Ramanantsoa, sidelining the elected civilian government.",October 1972,"An October 1972 referendum abolished the presidency and vested Ramanantsoa with sweeping powers for a five-year military-led transition, formally ending Madagascar's civilian First Republic.",https://en.wikipedia.org/wiki/Gabriel_Ramanantsoa,Medium
Seychelles,1972,1978,Autocracy deepening,No,NA,FALSE,Open-ended coup,Executive aggrandizement,June 1977,"On 4-5 June 1977, armed SPUP supporters trained in Tanzania seized strategic sites on Mahe and ousted elected President James Mancham while he was abroad, installing SPUP leader France-Albert Rene as president.",June 1979,"Proclamations of June 1977 suspended and then revoked the constitution, vesting all legislative power in Rene by decree; a new 1979 constitution formalized one-party socialist rule, and Rene won the 1979 election unopposed.",https://en.wikipedia.org/wiki/1977_Seychellois_coup_d'etat,High
